Name,Line,Direction,Station from (A),From (RODS name),From (NLC),Station to (B),To (RODS name),To (NLC),Capacity,Distance (Kms),Un-impeded Running Time (Mins),AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins)
Bakerloo  Southbound: Maida Vale to Warwick Avenue,Bakerloo ,Southbound,MAIDA VALE,Maida Vale,637,WARWICK AVENUE,Warwick Avenue,746,17520,0.79,1.50,1.50,1.50
Bakerloo  Southbound: Warwick Avenue to Paddington,Bakerloo ,Southbound,WARWICK AVENUE,Warwick Avenue,746,PADDINGTON,Paddington,670,17520,0.88,1.58,2.00,2.00
Bakerloo  Southbound: Paddington to Edgware Road (Bak),Bakerloo ,Southbound,PADDINGTON,Paddington,670,EDGWARE ROAD,Edgware Road (Bak),774,17520,0.72,1.57,1.50,1.50
Bakerloo  Southbound: Edgware Road (Bak) to Marylebone,Bakerloo ,Southbound,EDGWARE ROAD,Edgware Road (Bak),774,MARYLEBONE,Marylebone,641,17520,0.45,1.12,1.50,1.50
Bakerloo  Southbound: Marylebone to Baker Street,Bakerloo ,Southbound,MARYLEBONE,Marylebone,641,BAKER STREET,Baker Street,511,17520,0.50,1.17,1.50,1.50
Bakerloo  Southbound: Baker Street to Regent's Park,Bakerloo ,Southbound,BAKER STREET,Baker Street,511,REGENTS PARK,Regent's Park,685,17520,0.88,1.68,2.00,2.00
Bakerloo  Southbound: Regent's Park to Oxford Circus,Bakerloo ,Southbound,REGENTS PARK,Regent's Park,685,OXFORD CIRCUS,Oxford Circus,669,17520,0.87,1.85,2.00,2.00
Bakerloo  Southbound: Oxford Circus to Piccadilly Circus,Bakerloo ,Southbound,OXFORD CIRCUS,Oxford Circus,669,PICCADILLY CIRCUS,Piccadilly Circus,674,17520,0.97,1.95,2.48,2.48
Bakerloo  Southbound: Piccadilly Circus to Charing Cross,Bakerloo ,Southbound,PICCADILLY CIRCUS,Piccadilly Circus,674,CHARING CROSS,Charing Cross,718,17520,0.55,1.35,1.50,1.50
Bakerloo  Southbound: Charing Cross to Embankment,Bakerloo ,Southbound,CHARING CROSS,Charing Cross,718,EMBANKMENT,Embankment,542,17520,0.37,0.95,1.50,1.50
Bakerloo  Southbound: Embankment to Waterloo,Bakerloo ,Southbound,EMBANKMENT,Embankment,542,WATERLOO,Waterloo,747,17520,0.71,1.43,1.50,1.50
Bakerloo  Southbound: Waterloo to Lambeth North,Bakerloo ,Southbound,WATERLOO,Waterloo,747,LAMBETH NORTH,Lambeth North,628,17520,0.63,1.45,2.00,2.00
Bakerloo  Southbound: Lambeth North to Elephant & Castle,Bakerloo ,Southbound,LAMBETH NORTH,Lambeth North,628,ELEPHANT & CASTLE,Elephant & Castle,570,17520,0.82,2.57,2.50,2.50
Bakerloo  Northbound: Elephant & Castle to Lambeth North,Bakerloo ,Northbound,ELEPHANT & CASTLE,Elephant & Castle,570,LAMBETH NORTH,Lambeth North,628,17520,0.82,2.13,2.00,2.00
Bakerloo  Northbound: Lambeth North to Waterloo,Bakerloo ,Northbound,LAMBETH NORTH,Lambeth North,628,WATERLOO,Waterloo,747,17520,0.63,1.45,2.06,2.06
Bakerloo  Northbound: Waterloo to Embankment,Bakerloo ,Northbound,WATERLOO,Waterloo,747,EMBANKMENT,Embankment,542,17520,0.71,1.22,1.50,1.50
Bakerloo  Northbound: Embankment to Charing Cross,Bakerloo ,Northbound,EMBANKMENT,Embankment,542,CHARING CROSS,Charing Cross,718,17520,0.37,0.97,1.00,1.00
Bakerloo  Northbound: Charing Cross to Piccadilly Circus,Bakerloo ,Northbound,CHARING CROSS,Charing Cross,718,PICCADILLY CIRCUS,Piccadilly Circus,674,17520,0.55,1.60,2.00,2.00
Bakerloo  Northbound: Piccadilly Circus to Oxford Circus,Bakerloo ,Northbound,PICCADILLY CIRCUS,Piccadilly Circus,674,OXFORD CIRCUS,Oxford Circus,669,17520,0.97,2.02,2.19,2.19
Bakerloo  Northbound: Oxford Circus to Regent's Park,Bakerloo ,Northbound,OXFORD CIRCUS,Oxford Circus,669,REGENTS PARK,Regent's Park,685,17520,0.87,1.72,2.00,2.00
Bakerloo  Northbound: Regent's Park to Baker Street,Bakerloo ,Northbound,REGENTS PARK,Regent's Park,685,BAKER STREET,Baker Street,511,17520,0.88,1.65,2.00,2.00
Bakerloo  Northbound: Baker Street to Marylebone,Bakerloo ,Northbound,BAKER STREET,Baker Street,511,MARYLEBONE,Marylebone,641,17520,0.50,1.08,1.50,1.50
Bakerloo  Northbound: Marylebone to Edgware Road (Bak),Bakerloo ,Northbound,MARYLEBONE,Marylebone,641,EDGWARE ROAD,Edgware Road (Bak),774,17520,0.45,1.08,1.00,1.00
Bakerloo  Northbound: Edgware Road (Bak) to Paddington,Bakerloo ,Northbound,EDGWARE ROAD,Edgware Road (Bak),774,PADDINGTON,Paddington,670,17520,0.72,1.62,2.00,2.00
Bakerloo  Northbound: Paddington to Warwick Avenue,Bakerloo ,Northbound,PADDINGTON,Paddington,670,WARWICK AVENUE,Warwick Avenue,746,17520,0.88,1.63,2.00,2.00
Bakerloo  Northbound: Warwick Avenue to Maida Vale,Bakerloo ,Northbound,WARWICK AVENUE,Warwick Avenue,746,MAIDA VALE,Maida Vale,637,17520,0.79,1.50,1.50,1.50
Bakerloo  Northbound: Maida Vale to Kilburn Park,Bakerloo ,Northbound,MAIDA VALE,Maida Vale,637,KILBURN PARK,Kilburn Park,623,17520,0.88,1.48,1.50,1.50
Bakerloo  Northbound: Kilburn Park to Queen's Park,Bakerloo ,Northbound,KILBURN PARK,Kilburn Park,623,QUEENS PARK,Queen's Park,680,17520,0.79,2.10,2.89,2.89
Bakerloo  Northbound: Queen's Park to Kensal Green,Bakerloo ,Northbound,QUEENS PARK,Queen's Park,680,KENSAL GREEN,Kensal Green,617,17520,1.32,2.83,2.72,2.72
Bakerloo  Northbound: Kensal Green to Willesden Junction,Bakerloo ,Northbound,KENSAL GREEN,Kensal Green,617,WILLESDEN JUNCTION,Willesden Junction,766,17520,1.50,2.53,3.15,3.15
Bakerloo  Northbound: Willesden Junction to Harlesden,Bakerloo ,Northbound,WILLESDEN JUNCTION,Willesden Junction,766,HARLESDEN,Harlesden,596,17520,1.05,1.63,2.00,2.00
Bakerloo  Northbound: Harlesden to Stonebridge Park,Bakerloo ,Northbound,HARLESDEN,Harlesden,596,STONEBRIDGE PARK,Stonebridge Park,717,17520,1.53,2.02,2.53,2.53
Bakerloo  Northbound: Stonebridge Park to Wembley Central,Bakerloo ,Northbound,STONEBRIDGE PARK,Stonebridge Park,717,WEMBLEY CENTRAL,Wembley Central,751,17520,1.71,2.42,3.17,3.17
Bakerloo  Northbound: Wembley Central to North Wembley,Bakerloo ,Northbound,WEMBLEY CENTRAL,Wembley Central,751,NORTH WEMBLEY,North Wembley,659,17520,1.27,1.95,2.00,2.00
Bakerloo  Northbound: North Wembley to South Kenton,Bakerloo ,Northbound,NORTH WEMBLEY,North Wembley,659,SOUTH KENTON,South Kenton,709,17520,0.90,1.58,1.50,1.50
Bakerloo  Northbound: South Kenton to Kenton,Bakerloo ,Northbound,SOUTH KENTON,South Kenton,709,KENTON,Kenton,620,17520,1.40,2.00,2.00,2.00
Bakerloo  Northbound: Kenton to Harrow & Wealdstone,Bakerloo ,Northbound,KENTON,Kenton,620,HARROW & WEALDSTONE,Harrow & Wealdstone,597,17520,1.74,2.38,3.00,3.00
Central  Eastbound: West Ruislip to Ruislip Gardens,Central ,Eastbound,WEST RUISLIP,West Ruislip,762,RUISLIP GARDENS,Ruislip Gardens,692,26760,2.04,2.28,2.57,2.50
Central  Eastbound: Ruislip Gardens to South Ruislip,Central ,Eastbound,RUISLIP GARDENS,Ruislip Gardens,692,SOUTH RUISLIP,South Ruislip,710,26760,0.86,1.30,1.50,1.50
Central  Eastbound: South Ruislip to Northolt,Central ,Eastbound,SOUTH RUISLIP,South Ruislip,710,NORTHOLT,Northolt,657,26760,2.28,2.23,2.58,2.50
Central  Eastbound: Northolt to Greenford,Central ,Eastbound,NORTHOLT,Northolt,657,GREENFORD,Greenford,589,26760,1.78,1.93,2.00,2.00
Central  Eastbound: Greenford to Perivale,Central ,Eastbound,GREENFORD,Greenford,589,PERIVALE,Perivale,673,26760,1.69,1.85,2.33,2.25
Central  Eastbound: Perivale to Hanger Lane,Central ,Eastbound,PERIVALE,Perivale,673,HANGER LANE,Hanger Lane,595,26760,2.10,2.10,2.25,2.26
Central  Eastbound: Hanger Lane to North Acton,Central ,Eastbound,HANGER LANE,Hanger Lane,595,NORTH ACTON,North Acton,653,26760,2.49,2.85,3.44,3.48
Central  Eastbound: Ealing Broadway to West Acton,Central ,Eastbound,EALING BROADWAY,Ealing Broadway,560,WEST ACTON,West Acton,753,26760,1.53,2.28,2.25,2.25
Central  Eastbound: West Acton to North Acton,Central ,Eastbound,WEST ACTON,West Acton,753,NORTH ACTON,North Acton,653,26760,1.77,2.30,2.86,3.26
Central  Eastbound: North Acton to East Acton,Central ,Eastbound,NORTH ACTON,North Acton,653,EAST ACTON,East Acton,563,26760,1.11,1.50,1.75,1.75
Central  Eastbound: East Acton to White City,Central ,Eastbound,EAST ACTON,East Acton,563,WHITE CITY,White City,764,26760,2.06,2.57,3.28,3.71
Central  Eastbound: White City to Shepherd's Bush (Cen),Central ,Eastbound,WHITE CITY,White City,764,SHEPHERDS BUSH,Shepherd's Bush (Cen),700,26760,1.16,2.68,2.75,2.75
Central  Eastbound: Shepherd's Bush (Cen) to Holland Park,Central ,Eastbound,SHEPHERDS BUSH,Shepherd's Bush (Cen),700,HOLLAND PARK,Holland Park,608,26760,0.87,1.37,1.75,1.75
Central  Eastbound: Holland Park to Notting Hill Gate,Central ,Eastbound,HOLLAND PARK,Holland Park,608,NOTTING HILL GATE,Notting Hill Gate,663,26760,0.61,1.08,1.50,1.50
Central  Eastbound: Notting Hill Gate to Queensway,Central ,Eastbound,NOTTING HILL GATE,Notting Hill Gate,663,QUEENSWAY,Queensway,681,26760,0.69,1.17,1.50,1.50
Central  Eastbound: Queensway to Lancaster Gate,Central ,Eastbound,QUEENSWAY,Queensway,681,LANCASTER GATE,Lancaster Gate,629,26760,0.90,1.35,1.50,1.50
Central  Eastbound: Lancaster Gate to Marble Arch,Central ,Eastbound,LANCASTER GATE,Lancaster Gate,629,MARBLE ARCH,Marble Arch,640,26760,1.20,1.92,2.71,2.50
Central  Eastbound: Marble Arch to Bond Street,Central ,Eastbound,MARBLE ARCH,Marble Arch,640,BOND STREET,Bond Street,524,26760,0.55,1.00,1.25,1.25
Central  Eastbound: Bond Street to Oxford Circus,Central ,Eastbound,BOND STREET,Bond Street,524,OXFORD CIRCUS,Oxford Circus,669,26760,0.66,1.10,1.50,1.50
Central  Eastbound: Oxford Circus to Tottenham Court Road,Central ,Eastbound,OXFORD CIRCUS,Oxford Circus,669,TOTTENHAM COURT ROAD,Tottenham Court Road,728,26760,0.58,0.98,1.50,1.50
Central  Eastbound: Tottenham Court Road to Holborn,Central ,Eastbound,TOTTENHAM COURT ROAD,Tottenham Court Road,728,HOLBORN,Holborn,607,26760,0.88,1.63,2.21,2.01
Central  Eastbound: Holborn to Chancery Lane,Central ,Eastbound,HOLBORN,Holborn,607,CHANCERY LANE,Chancery Lane,541,26760,0.40,0.87,1.00,1.00
Central  Eastbound: Chancery Lane to St. Paul's,Central ,Eastbound,CHANCERY LANE,Chancery Lane,541,ST PAULS,St. Paul's,697,26760,1.03,1.52,2.00,2.00
Central  Eastbound: St. Paul's to Bank / Monument,Central ,Eastbound,ST PAULS,St. Paul's,697,BANK,Bank / Monument,513,26760,0.74,1.62,2.00,2.00
Central  Eastbound: Bank / Monument to Liverpool Street,Central ,Eastbound,BANK,Bank / Monument,513,LIVERPOOL STREET,Liverpool Street,634,26760,0.74,1.62,2.25,2.25
Central  Eastbound: Liverpool Street to Bethnal Green,Central ,Eastbound,LIVERPOOL STREET,Liverpool Street,634,BETHNAL GREEN,Bethnal Green,520,26760,2.27,2.60,2.75,2.75
Central  Eastbound: Bethnal Green to Mile End,Central ,Eastbound,BETHNAL GREEN,Bethnal Green,520,MILE END,Mile End,642,26760,1.64,1.98,2.25,2.25
Central  Eastbound: Mile End to Stratford,Central ,Eastbound,MILE END,Mile End,642,STRATFORD,Stratford,719,26760,2.83,3.18,3.42,3.25
Central  Eastbound: Stratford to Leyton,Central ,Eastbound,STRATFORD,Stratford,719,LEYTON,Leyton,632,26760,2.09,2.40,2.75,2.75
Central  Eastbound: Leyton to Leytonstone,Central ,Eastbound,LEYTON,Leyton,632,LEYTONSTONE,Leytonstone,633,26760,1.62,2.02,2.81,2.76
Central  Eastbound: Leytonstone to Wanstead,Central ,Eastbound,LEYTONSTONE,Leytonstone,633,WANSTEAD,Wanstead,743,26760,1.72,2.15,2.25,2.25
Central  Eastbound: Wanstead to Redbridge,Central ,Eastbound,WANSTEAD,Wanstead,743,REDBRIDGE,Redbridge,684,26760,1.22,1.62,2.00,2.00
Central  Eastbound: Redbridge to Gants Hill,Central ,Eastbound,REDBRIDGE,Redbridge,684,GANTS HILL,Gants Hill,582,26760,1.27,1.65,1.75,1.75
Central  Eastbound: Gants Hill to Newbury Park,Central ,Eastbound,GANTS HILL,Gants Hill,582,NEWBURY PARK,Newbury Park,650,26760,2.36,2.68,3.06,2.98
Central  Eastbound: Newbury Park to Barkingside,Central ,Eastbound,NEWBURY PARK,Newbury Park,650,BARKINGSIDE,Barkingside,515,26760,1.11,1.55,1.75,1.75
Central  Eastbound: Barkingside to Fairlop,Central ,Eastbound,BARKINGSIDE,Barkingside,515,FAIRLOP,Fairlop,576,26760,1.22,1.57,1.84,1.79
Central  Eastbound: Fairlop to Hainault,Central ,Eastbound,FAIRLOP,Fairlop,576,HAINAULT,Hainault,592,26760,0.75,2.93,3.89,4.12
Central  Eastbound: Leytonstone to Snaresbrook,Central ,Eastbound,LEYTONSTONE,Leytonstone,633,SNARESBROOK,Snaresbrook,703,26760,1.57,1.80,2.25,2.25
Central  Eastbound: Snaresbrook to South Woodford,Central ,Eastbound,SNARESBROOK,Snaresbrook,703,SOUTH WOODFORD,South Woodford,712,26760,1.29,1.62,1.75,1.75
Central  Eastbound: South Woodford to Woodford,Central ,Eastbound,SOUTH WOODFORD,South Woodford,712,WOODFORD,Woodford,769,26760,1.80,1.90,2.34,2.26
Central  Inner: Roding Valley to Woodford,Central ,Inner,RODING VALLEY,Roding Valley,688,WOODFORD,Woodford,769,26760,1.33,2.03,2.78,2.22
Central  Inner: Chigwell to Roding Valley,Central ,Inner,CHIGWELL,Chigwell,544,RODING VALLEY,Roding Valley,688,26760,2.28,2.45,2.77,2.50
Central  Inner: Grange Hill to Chigwell,Central ,Inner,GRANGE HILL,Grange Hill,587,CHIGWELL,Chigwell,544,26760,1.32,1.63,2.00,2.00
Central  Inner: Hainault to Grange Hill,Central ,Inner,HAINAULT,Hainault,592,GRANGE HILL,Grange Hill,587,26760,1.12,1.73,1.89,1.79
Central  Eastbound: Woodford to Buckhurst Hill,Central ,Eastbound,WOODFORD,Woodford,769,BUCKHURST HILL,Buckhurst Hill,531,26760,2.31,2.28,2.50,2.50
Central  Eastbound: Buckhurst Hill to Loughton,Central ,Eastbound,BUCKHURST HILL,Buckhurst Hill,531,LOUGHTON,Loughton,636,26760,1.83,2.35,2.70,2.53
Central  Eastbound: Loughton to Debden,Central ,Eastbound,LOUGHTON,Loughton,636,DEBDEN,Debden,557,26760,2.02,2.13,2.22,2.25
Central  Eastbound: Debden to Theydon Bois,Central ,Eastbound,DEBDEN,Debden,557,THEYDON BOIS,Theydon Bois,725,26760,3.34,3.00,3.00,3.00
Central  Eastbound: Theydon Bois to Epping,Central ,Eastbound,THEYDON BOIS,Theydon Bois,725,EPPING,Epping,572,26760,2.54,2.60,2.76,2.75
Central  Westbound: Epping to Theydon Bois,Central ,Westbound,EPPING,Epping,572,THEYDON BOIS,Theydon Bois,725,26760,2.54,2.37,2.50,2.50
Central  Westbound: Theydon Bois to Debden,Central ,Westbound,THEYDON BOIS,Theydon Bois,725,DEBDEN,Debden,557,26760,3.34,2.88,3.43,3.25
Central  Westbound: Debden to Loughton,Central ,Westbound,DEBDEN,Debden,557,LOUGHTON,Loughton,636,26760,2.02,2.67,2.97,3.40
Central  Westbound: Loughton to Buckhurst Hill,Central ,Westbound,LOUGHTON,Loughton,636,BUCKHURST HILL,Buckhurst Hill,531,26760,1.83,2.07,2.53,2.50
Central  Westbound: Buckhurst Hill to Woodford,Central ,Westbound,BUCKHURST HILL,Buckhurst Hill,531,WOODFORD,Woodford,769,26760,2.31,2.32,2.53,2.53
Central  Outer: Grange Hill to Hainault,Central ,Outer,GRANGE HILL,Grange Hill,587,HAINAULT,Hainault,592,26760,1.12,1.70,5.28,4.32
Central  Outer: Chigwell to Grange Hill,Central ,Outer,CHIGWELL,Chigwell,544,GRANGE HILL,Grange Hill,587,26760,1.32,1.73,2.61,2.11
Central  Outer: Roding Valley to Chigwell,Central ,Outer,RODING VALLEY,Roding Valley,688,CHIGWELL,Chigwell,544,26760,2.28,2.13,2.25,2.25
Central  Outer: Woodford to Roding Valley,Central ,Outer,WOODFORD,Woodford,769,RODING VALLEY,Roding Valley,688,26760,1.33,2.18,2.53,2.50
Central  Westbound: Woodford to South Woodford,Central ,Westbound,WOODFORD,Woodford,769,SOUTH WOODFORD,South Woodford,712,26760,1.80,1.95,2.25,2.25
Central  Westbound: South Woodford to Snaresbrook,Central ,Westbound,SOUTH WOODFORD,South Woodford,712,SNARESBROOK,Snaresbrook,703,26760,1.29,1.60,1.75,1.75
Central  Westbound: Snaresbrook to Leytonstone,Central ,Westbound,SNARESBROOK,Snaresbrook,703,LEYTONSTONE,Leytonstone,633,26760,1.57,2.05,3.46,3.33
Central  Westbound: Hainault to Fairlop,Central ,Westbound,HAINAULT,Hainault,592,FAIRLOP,Fairlop,576,26760,0.75,1.82,2.00,2.00
Central  Westbound: Fairlop to Barkingside,Central ,Westbound,FAIRLOP,Fairlop,576,BARKINGSIDE,Barkingside,515,26760,1.22,1.57,1.75,1.75
Central  Westbound: Barkingside to Newbury Park,Central ,Westbound,BARKINGSIDE,Barkingside,515,NEWBURY PARK,Newbury Park,650,26760,1.11,1.58,2.25,2.35
Central  Westbound: Newbury Park to Gants Hill,Central ,Westbound,NEWBURY PARK,Newbury Park,650,GANTS HILL,Gants Hill,582,26760,2.36,2.73,3.00,3.00
Central  Westbound: Gants Hill to Redbridge,Central ,Westbound,GANTS HILL,Gants Hill,582,REDBRIDGE,Redbridge,684,26760,1.27,1.70,2.00,2.00
Central  Westbound: Redbridge to Wanstead,Central ,Westbound,REDBRIDGE,Redbridge,684,WANSTEAD,Wanstead,743,26760,1.22,1.58,1.75,1.75
Central  Westbound: Wanstead to Leytonstone,Central ,Westbound,WANSTEAD,Wanstead,743,LEYTONSTONE,Leytonstone,633,26760,1.72,2.17,3.05,3.64
Central  Westbound: Leytonstone to Leyton,Central ,Westbound,LEYTONSTONE,Leytonstone,633,LEYTON,Leyton,632,26760,1.62,2.02,2.25,2.25
Central  Westbound: Leyton to Stratford,Central ,Westbound,LEYTON,Leyton,632,STRATFORD,Stratford,719,26760,2.09,2.43,2.96,2.75
Central  Westbound: Stratford to Mile End,Central ,Westbound,STRATFORD,Stratford,719,MILE END,Mile End,642,26760,2.83,3.03,3.00,3.00
Central  Westbound: Mile End to Bethnal Green,Central ,Westbound,MILE END,Mile End,642,BETHNAL GREEN,Bethnal Green,520,26760,1.64,1.97,2.47,2.25
Central  Westbound: Bethnal Green to Liverpool Street,Central ,Westbound,BETHNAL GREEN,Bethnal Green,520,LIVERPOOL STREET,Liverpool Street,634,26760,2.27,2.77,3.48,3.25
Central  Westbound: Liverpool Street to Bank / Monument,Central ,Westbound,LIVERPOOL STREET,Liverpool Street,634,BANK,Bank / Monument,513,26760,0.74,1.65,2.00,2.00
Central  Westbound: Bank / Monument to St. Paul's,Central ,Westbound,BANK,Bank / Monument,513,ST PAULS,St. Paul's,697,26760,0.74,1.63,2.00,2.00
Central  Westbound: St. Paul's to Chancery Lane,Central ,Westbound,ST PAULS,St. Paul's,697,CHANCERY LANE,Chancery Lane,541,26760,1.03,1.52,1.75,1.75
Central  Westbound: Chancery Lane to Holborn,Central ,Westbound,CHANCERY LANE,Chancery Lane,541,HOLBORN,Holborn,607,26760,0.40,0.85,1.46,1.25
Central  Westbound: Holborn to Tottenham Court Road,Central ,Westbound,HOLBORN,Holborn,607,TOTTENHAM COURT ROAD,Tottenham Court Road,728,26760,0.88,1.38,1.75,1.75
Central  Westbound: Tottenham Court Road to Oxford Circus,Central ,Westbound,TOTTENHAM COURT ROAD,Tottenham Court Road,728,OXFORD CIRCUS,Oxford Circus,669,26760,0.58,1.02,1.50,1.50
Central  Westbound: Oxford Circus to Bond Street,Central ,Westbound,OXFORD CIRCUS,Oxford Circus,669,BOND STREET,Bond Street,524,26760,0.66,1.03,1.25,1.25
Central  Westbound: Bond Street to Marble Arch,Central ,Westbound,BOND STREET,Bond Street,524,MARBLE ARCH,Marble Arch,640,26760,0.55,1.02,1.66,1.50
Central  Westbound: Marble Arch to Lancaster Gate,Central ,Westbound,MARBLE ARCH,Marble Arch,640,LANCASTER GATE,Lancaster Gate,629,26760,1.20,1.62,2.00,2.00
Central  Westbound: Lancaster Gate to Queensway,Central ,Westbound,LANCASTER GATE,Lancaster Gate,629,QUEENSWAY,Queensway,681,26760,0.90,1.65,1.75,1.75
Central  Westbound: Queensway to Notting Hill Gate,Central ,Westbound,QUEENSWAY,Queensway,681,NOTTING HILL GATE,Notting Hill Gate,663,26760,0.69,1.18,1.50,1.50
Central  Westbound: Notting Hill Gate to Holland Park,Central ,Westbound,NOTTING HILL GATE,Notting Hill Gate,663,HOLLAND PARK,Holland Park,608,26760,0.61,1.18,1.50,1.50
Central  Westbound: Holland Park to Shepherd's Bush (Cen),Central ,Westbound,HOLLAND PARK,Holland Park,608,SHEPHERDS BUSH,Shepherd's Bush (Cen),700,26760,0.87,1.52,1.75,1.75
Central  Westbound: Shepherd's Bush (Cen) to White City,Central ,Westbound,SHEPHERDS BUSH,Shepherd's Bush (Cen),700,WHITE CITY,White City,764,26760,1.16,2.77,3.74,3.97
Central  Westbound: White City to East Acton,Central ,Westbound,WHITE CITY,White City,764,EAST ACTON,East Acton,563,26760,2.06,2.67,3.00,3.00
Central  Westbound: East Acton to North Acton,Central ,Westbound,EAST ACTON,East Acton,563,NORTH ACTON,North Acton,653,26760,1.11,1.57,2.12,2.54
Central  Westbound: North Acton to West Acton,Central ,Westbound,NORTH ACTON,North Acton,653,WEST ACTON,West Acton,753,26760,1.77,2.52,2.85,2.76
Central  Westbound: West Acton to Ealing Broadway,Central ,Westbound,WEST ACTON,West Acton,753,EALING BROADWAY,Ealing Broadway,560,26760,1.53,3.07,2.76,2.82
Central  Westbound: North Acton to Hanger Lane,Central ,Westbound,NORTH ACTON,North Acton,653,HANGER LANE,Hanger Lane,595,26760,2.49,2.87,3.15,3.00
Central  Westbound: Hanger Lane to Perivale,Central ,Westbound,HANGER LANE,Hanger Lane,595,PERIVALE,Perivale,673,26760,2.10,2.07,2.28,2.25
Central  Westbound: Perivale to Greenford,Central ,Westbound,PERIVALE,Perivale,673,GREENFORD,Greenford,589,26760,1.69,2.00,2.27,2.25
Central  Westbound: Greenford to Northolt,Central ,Westbound,GREENFORD,Greenford,589,NORTHOLT,Northolt,657,26760,1.78,2.15,2.37,2.28
Central  Westbound: Northolt to South Ruislip,Central ,Westbound,NORTHOLT,Northolt,657,SOUTH RUISLIP,South Ruislip,710,26760,2.28,2.25,2.52,2.50
Central  Westbound: South Ruislip to Ruislip Gardens,Central ,Westbound,SOUTH RUISLIP,South Ruislip,710,RUISLIP GARDENS,Ruislip Gardens,692,26760,0.86,1.37,2.09,1.54
Central  Westbound: Ruislip Gardens to West Ruislip,Central ,Westbound,RUISLIP GARDENS,Ruislip Gardens,692,WEST RUISLIP,West Ruislip,762,26760,2.04,2.68,2.86,2.75
Victoria Southbound: Walthamstow Central to Blackhorse Road,Victoria,Southbound,WALTHAMSTOW,Walthamstow Central,742,BLACKHORSE ROAD,Blackhorse Road,522,34920,1.45,2.12,2.00,2.00
Victoria Southbound: Blackhorse Road to Tottenham Hale,Victoria,Southbound,BLACKHORSE ROAD,Blackhorse Road,522,TOTTENHAM HALE,Tottenham Hale,729,34920,1.37,1.90,2.36,2.00
Victoria Southbound: Tottenham Hale to Seven Sisters,Victoria,Southbound,TOTTENHAM HALE,Tottenham Hale,729,SEVEN SISTERS,Seven Sisters,698,34920,1.05,2.00,2.77,3.28
Victoria Southbound: Seven Sisters to Finsbury Park,Victoria,Southbound,SEVEN SISTERS,Seven Sisters,698,FINSBURY PARK,Finsbury Park,580,34920,3.15,3.77,4.00,4.00
Victoria Southbound: Finsbury Park to Highbury & Islington,Victoria,Southbound,FINSBURY PARK,Finsbury Park,580,HIGHBURY,Highbury & Islington,603,34920,1.93,2.90,2.89,2.55
Victoria Southbound: Highbury & Islington to King's Cross St. Pancras,Victoria,Southbound,HIGHBURY,Highbury & Islington,603,KINGS CROSS,King's Cross St. Pancras,625,34920,2.45,2.77,3.50,3.50
Victoria Southbound: King's Cross St. Pancras to Euston,Victoria,Southbound,KINGS CROSS,King's Cross St. Pancras,625,EUSTON,Euston,574,34920,0.74,1.32,1.92,1.50
